gene_id	gene_name	SRR29279085	SRR29279086	SRR29279087	SRR29279088	SRR29279093	SRR29279094	SRR29279095	SRR29279096	SRR29279101	SRR29279102	SRR29279103	SRR29279104	SRR29279109	SRR29279110	SRR29279111	SRR29279112	SRR29279117	SRR29279118	SRR29279119	SRR29279120	SRR29279125	SRR29279126	SRR29279127	SRR29279128	SRR29279133	SRR29279134	SRR29279135	SRR29279136	SRR29279141	SRR29279142	SRR29279143	SRR29279144	SRR29279149	SRR29279150	SRR29279151	SRR29279152	SRR29279157	SRR29279158	SRR29279159	SRR29279160	SRR29279161	SRR29279162	SRR29279163	SRR29279164	SRR29279165	SRR29279166	SRR29279167	SRR29279168	SRR29279169	SRR29279170	SRR29279171	SRR29279172	SRR29279173	SRR29279174	SRR29279175	SRR29279176	SRR29279177	SRR29279178	SRR29279179	SRR29279180
C1_00150C_A	RIM8	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619	1619
C1_00160C_A	C1_00160C_A	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953	953
C1_00170W_A	LEU4	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490
C1_00180W_A	RPL16A	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353	353
C1_00190C_A	C1_00190C_A	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389	389
C1_00200C_A	C1_00200C_A	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004	98.004
C1_00210C_A	C1_00210C_A	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905	905
C1_00220W_A	PHR2	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385
C1_00230C_A	BFA1	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037	1037
C1_00240C_A	tT(AGU)6	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935
C1_00270W_A	C1_00270W_A	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650
C1_00280C_A	RFC52	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401	4.401
C1_00290W_A	POL93	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712	1712
C1_00310W_A	PNS1	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307	1307
C1_00320W_A	C1_00320W_A	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536	536
C1_00330C_A	C1_00330C_A	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299	299
C1_00340W_A	HBR1	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497	497
C1_00350C_A	HMX1	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626	626
C1_00360W_A	CDC13	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094
C1_00370W_A	C1_00370W_A	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947	38.947
C1_00380C_A	C1_00380C_A	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988	1988
C1_00390W_A	ENA2	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954	2954
C1_00400W_A	SVF1	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899
C1_00410C_A	C1_00410C_A	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379	1379
C1_00420W_A	C1_00420W_A	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722
C1_00430W_A	ATG18	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427
C1_00440W_A	UBP6	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187	1187
C1_00450C_A	C1_00450C_A	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203
C1_00460W_A	C1_00460W_A	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167
C1_00470C_A	C1_00470C_A	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076
C1_00480C_A	GCN20	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006
C1_00490C_A	TTR1	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001	110.001
C1_00500C_A	GLO1	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779	779
C1_00510W_A	C1_00510W_A	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680
C1_00520W_A	C1_00520W_A	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419	419
C1_00530C_A	C1_00530C_A	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192
C1_00540C_A	C1_00540C_A	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919	1919
C1_00550W_A	CIS2	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661
