transcript_id	gene_id	gene_name
C1_00460W_A-T	C1_00460W_A	C1_00460W_A
C1_08350C_A-T	C1_08350C_A	C1_08350C_A
C1_01310W_A-T	C1_01310W_A	C1_01310W_A
C1_12970C_A-T	C1_12970C_A	SEC2
C1_02450C_A-T	C1_02450C_A	C1_02450C_A
C1_06530C_A-T	C1_06530C_A	C1_06530C_A
C1_12210W_A-T	C1_12210W_A	TRP3
C1_00180W_A-T	C1_00180W_A	RPL16A
C1_13460W_A-T	C1_13460W_A	C1_13460W_A
C1_00280C_A-T	C1_00280C_A	RFC52
C1_08950W_A-T	C1_08950W_A	PFK26
C1_09810W_A-T	C1_09810W_A	C1_09810W_A
C1_11580W_A-T	C1_11580W_A	C1_11580W_A
C1_03730C_A-T	C1_03730C_A	MNS1
C1_08040W_A-T	C1_08040W_A	C1_08040W_A
C1_05360C_A-T	C1_05360C_A	C1_05360C_A
C1_07790C_A-T	C1_07790C_A	C1_07790C_A
C1_13930W_A-T	C1_13930W_A	SSK1
C1_02100W_A-T	C1_02100W_A	C1_02100W_A
C1_01060W_A-T	C1_01060W_A	MBF1
C1_00710C_A-T	C1_00710C_A	TUB2
C1_06400C_A-T	C1_06400C_A	C1_06400C_A
C1_09600C_A-T	C1_09600C_A	LIP6
C1_12150C_A-T	C1_12150C_A	C1_12150C_A
C1_14000C_A-T	C1_14000C_A	DOA4
C1_11300C_A-T	C1_11300C_A	PRP28
C1_02650W_A-T	C1_02650W_A	C1_02650W_A
C1_01010W_A-T	C1_01010W_A	C1_01010W_A
C1_03700C_A-T	C1_03700C_A	tT(CGU)1
C1_08340C_A-T	C1_08340C_A	SNX3
C1_00220W_A-T	C1_00220W_A	PHR2
C1_04310C_A-T	C1_04310C_A	GIG1
C1_12340C_A-T	C1_12340C_A	MRPS9
C1_05440C_A-T	C1_05440C_A	C1_05440C_A
C1_02270C_A-T	C1_02270C_A	C1_02270C_A
C1_07540C_A-T	C1_07540C_A	BBC1
C1_11650W_A-T	C1_11650W_A	EGD1
C1_14120C_A-T	C1_14120C_A	RBE1
C1_11360W_A-T	C1_11360W_A	RPL37B
C1_08990C_A-T	C1_08990C_A	KEX2
C1_11070W_A-T	C1_11070W_A	PET127
C1_02210W_A-T	C1_02210W_A	C1_02210W_A
C1_08090C_A-T	C1_08090C_A	FUN12
C1_12010C_A-T	C1_12010C_A	KIP4
C1_13220C_A-T	C1_13220C_A	AKR1
C1_07960W_A-T	C1_07960W_A	C1_07960W_A
C1_10360C_A-T	C1_10360C_A	C1_10360C_A
C1_12720C_A-T	C1_12720C_A	C1_12720C_A
C1_12900W_A-T	C1_12900W_A	C1_12900W_A
C1_00660C_A-T	C1_00660C_A	C1_00660C_A
C1_13890C_A-T	C1_13890C_A	tA(AGC)7
C1_14380C_A-T	C1_14380C_A	C1_14380C_A
C1_02510W_A-T	C1_02510W_A	C1_02510W_A
C1_00270W_A-T	C1_00270W_A	C1_00270W_A
C1_07070C_A-T	C1_07070C_A	DHH1
C1_00610W_A-T	C1_00610W_A	PSD1
C1_10610W_A-T	C1_10610W_A	FCY23
C1_01990W_A-T	C1_01990W_A	HSP30
C1_08860C_A-T	C1_08860C_A	C1_08860C_A
C1_06940C_A-T	C1_06940C_A	ATC1
C1_07580C_A-T	C1_07580C_A	PRY1
C1_11900C_A-T	C1_11900C_A	C1_11900C_A
C1_11340W_A-T	C1_11340W_A	PRM1
C1_00360W_A-T	C1_00360W_A	CDC13
C1_10090C_A-T	C1_10090C_A	AIM21
C1_01760W_A-T	C1_01760W_A	FGR38
C1_02250W_A-T	C1_02250W_A	CWH8
C1_09480W_A-T	C1_09480W_A	PPT2
C1_08120W_A-T	C1_08120W_A	BUD6
C1_03960C_A-T	C1_03960C_A	C1_03960C_A
C1_06160W_A-T	C1_06160W_A	C1_06160W_A
C1_08940C_A-T	C1_08940C_A	MSN4
C1_08230C_A-T	C1_08230C_A	PLB5
C1_10860C_A-T	C1_10860C_A	ADA2
C1_11930W_A-T	C1_11930W_A	C1_11930W_A
C1_13110C_A-T	C1_13110C_A	CHS3
C1_03150C_A-T	C1_03150C_A	C1_03150C_A
C1_09390W_A-T	C1_09390W_A	C1_09390W_A
C1_04300C_A-T	C1_04300C_A	SSA2
C1_07290W_A-T	C1_07290W_A	C1_07290W_A
C1_02980W_A-T	C1_02980W_A	GOR1
C1_11080W_A-T	C1_11080W_A	C1_11080W_A
C1_12090C_A-T	C1_12090C_A	C1_12090C_A
C1_08680C_A-T	C1_08680C_A	C1_08680C_A
C1_13360C_A-T	C1_13360C_A	RMP1
C1_10960W_A-T	C1_10960W_A	C1_10960W_A
C1_13170C_A-T	C1_13170C_A	MSH6
C1_07230W_A-T	C1_07230W_A	PHO15
C1_02470W_A-T	C1_02470W_A	C1_02470W_A
C1_12680W_A-T	C1_12680W_A	C1_12680W_A
C1_07270W_A-T	C1_07270W_A	SEC34
C1_12310C_A-T	C1_12310C_A	CSI2
C1_01320W_A-T	C1_01320W_A	MRS7
C1_01900C_A-T	C1_01900C_A	C1_01900C_A
C1_00740C_A-T	C1_00740C_A	SPE1
C1_05520W_A-T	C1_05520W_A	C1_05520W_A
C1_14090W_A-T	C1_14090W_A	C1_14090W_A
C1_08390C_A-T	C1_08390C_A	C1_08390C_A
C1_10450W_A-T	C1_10450W_A	GLY1
C1_05400C_A-T	C1_05400C_A	C1_05400C_A
C1_14150C_A-T	C1_14150C_A	PAM16
C1_12030W_A-T	C1_12030W_A	SER33
C1_09430W_A-T	C1_09430W_A	C1_09430W_A
C1_00470C_A-T	C1_00470C_A	C1_00470C_A
C1_06720C_A-T	C1_06720C_A	C1_06720C_A
C1_02630C_A-T	C1_02630C_A	EXG2
C1_01420C_A-T	C1_01420C_A	CRL1
C1_02090C_A-T	C1_02090C_A	C1_02090C_A
C1_00070W_A-T	C1_00070W_A	MVD
C1_02930C_A-T	C1_02930C_A	MST1
C1_05480C_A-T	C1_05480C_A	C1_05480C_A
C1_12270W_A-T	C1_12270W_A	SRT1
C1_00880W_A-T	C1_00880W_A	C1_00880W_A
C1_09040C_A-T	C1_09040C_A	C1_09040C_A
C1_06120C_A-T	C1_06120C_A	C1_06120C_A
C1_12160W_A-T	C1_12160W_A	MSO1
C1_04030W_A-T	C1_04030W_A	C1_04030W_A
C1_14580C_A-T	C1_14580C_A	C1_14580C_A
C1_12660W_A-T	C1_12660W_A	MAD1
C1_05910W_A-T	C1_05910W_A	SIP5
C1_09200W_A-T	C1_09200W_A	LYS142
C1_04360C_A-T	C1_04360C_A	C1_04360C_A
C1_13730C_A-T	C1_13730C_A	DIM1
C1_00840C_A-T	C1_00840C_A	NRM1
C1_03640C_A-T	C1_03640C_A	HFL1
C1_04800C_A-T	C1_04800C_A	C1_04800C_A
C1_12600C_A-T	C1_12600C_A	CHR1
C1_09690W_A-T	C1_09690W_A	MLS1
C1_05020C_A-T	C1_05020C_A	ARG2
C1_10790W_A-T	C1_10790W_A	CDC48
C1_12510W_A-T	C1_12510W_A	RAX2
C1_03600W_A-T	C1_03600W_A	C1_03600W_A
C1_01400C_A-T	C1_01400C_A	C1_01400C_A
C1_14210C_A-T	C1_14210C_A	IML2
C1_05210C_A-T	C1_05210C_A	C1_05210C_A
C1_11330C_A-T	C1_11330C_A	SMT3
C1_01130W_A-T	C1_01130W_A	C1_01130W_A
C1_13060C_A-T	C1_13060C_A	MEF1
C1_14480W_A-T	C1_14480W_A	C1_14480W_A
C1_04870W_A-T	C1_04870W_A	SAP7
C1_14630C_A-T	C1_14630C_A	C1_14630C_A
C1_02700C_A-T	C1_02700C_A	C1_02700C_A
C1_01000C_A-T	C1_01000C_A	C1_01000C_A
C1_13290W_A-T	C1_13290W_A	C1_13290W_A
C1_04120C_A-T	C1_04120C_A	C1_04120C_A
C1_06770W_A-T	C1_06770W_A	C1_06770W_A
C1_13780W_A-T	C1_13780W_A	MYO2
C1_04660W_A-T	C1_04660W_A	DUR1
C1_00510W_A-T	C1_00510W_A	C1_00510W_A
C1_08020W_A-T	C1_08020W_A	UBA2
C1_06610C_A-T	C1_06610C_A	HAK1
C1_05730W_A-T	C1_05730W_A	C1_05730W_A
C1_07220W_A-T	C1_07220W_A	C1_07220W_A
C1_12790C_A-T	C1_12790C_A	FEN1
C1_08590C_A-T	C1_08590C_A	ERG1
C1_11800C_A-T	C1_11800C_A	C1_11800C_A
C1_02790W_A-T	C1_02790W_A	TIF34
C1_03270W_A-T	C1_03270W_A	C1_03270W_A
C1_03470C_A-T	C1_03470C_A	C1_03470C_A
C1_05310W_A-T	C1_05310W_A	tP(UGG)1
C1_03310W_A-T	C1_03310W_A	C1_03310W_A
C1_05110C_A-T	C1_05110C_A	ARO4
C1_05340C_A-T	C1_05340C_A	ZCF2
C1_11780W_A-T	C1_11780W_A	C1_11780W_A
C1_04750W_A-T	C1_04750W_A	IFE1
C1_06340W_A-T	C1_06340W_A	C1_06340W_A
C1_10730W_A-T	C1_10730W_A	C1_10730W_A
C1_01810C_A-T	C1_01810C_A	UGA2
C1_01260C_A-T	C1_01260C_A	TRS20
C1_10480W_A-T	C1_10480W_A	DJP1
C1_07810C_A-T	C1_07810C_A	C1_07810C_A
C1_10220C_A-T	C1_10220C_A	TPK1
C1_14110C_A-T	C1_14110C_A	RPL4B
C1_01550W_A-T	C1_01550W_A	VPS17
C1_08630W_A-T	C1_08630W_A	C1_08630W_A
C1_05060W_A-T	C1_05060W_A	REI1
C1_11610C_A-T	C1_11610C_A	C1_11610C_A
C1_08740C_A-T	C1_08740C_A	SEC24
C1_09940W_A-T	C1_09940W_A	C1_09940W_A
C1_02620C_A-T	C1_02620C_A	HOM6
C1_09510W_A-T	C1_09510W_A	YTM1
C1_03440C_A-T	C1_03440C_A	C1_03440C_A
C1_09560C_A-T	C1_09560C_A	C1_09560C_A
C1_07160C_A-T	C1_07160C_A	C1_07160C_A
C1_05960W_A-T	C1_05960W_A	PGA45
C1_00780C_A-T	C1_00780C_A	HGC1
C1_07700C_A-T	C1_07700C_A	VRG4
C1_02520W_A-T	C1_02520W_A	SCW4
C1_08520C_A-T	C1_08520C_A	C1_08520C_A
C1_05390C_A-T	C1_05390C_A	C1_05390C_A
C1_12620W_A-T	C1_12620W_A	SPA2
C1_11420W_A-T	C1_11420W_A	KRR1
C1_07560W_A-T	C1_07560W_A	C1_07560W_A
C1_00820W_A-T	C1_00820W_A	C1_00820W_A
C1_02160W_A-T	C1_02160W_A	C1_02160W_A
C1_08550C_A-T	C1_08550C_A	GCF1
C1_08160W_A-T	C1_08160W_A	C1_08160W_A
C1_04760C_A-T	C1_04760C_A	SYG1
