Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,experiment_group,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,stimulus,treatment
SRR29279094,RNA-Seq,76,104153288,PRJNA1120019,SAMN41673655,45406753,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",6,SRX24796382,uncalculated,uncalculated,missing,NextSeq 500,GSM8305587,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305587,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279095,RNA-Seq,76,106320048,PRJNA1120019,SAMN41673655,46744878,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",6,SRX24796382,uncalculated,uncalculated,missing,NextSeq 500,GSM8305587,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305587,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279096,RNA-Seq,76,103768880,PRJNA1120019,SAMN41673655,45311903,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",6,SRX24796382,uncalculated,uncalculated,missing,NextSeq 500,GSM8305587,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305587,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279098,RNA-Seq,76,95609824,PRJNA1120019,SAMN41673656,41912596,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",6,SRX24796381,uncalculated,uncalculated,missing,NextSeq 500,GSM8305586,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305586,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279099,RNA-Seq,76,97934132,PRJNA1120019,SAMN41673656,43274559,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",6,SRX24796381,uncalculated,uncalculated,missing,NextSeq 500,GSM8305586,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305586,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279100,RNA-Seq,76,95350436,PRJNA1120019,SAMN41673656,41821005,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",6,SRX24796381,uncalculated,uncalculated,missing,NextSeq 500,GSM8305586,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305586,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279102,RNA-Seq,76,95365484,PRJNA1120019,SAMN41673657,41250591,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",5,SRX24796380,uncalculated,uncalculated,missing,NextSeq 500,GSM8305585,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305585,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279103,RNA-Seq,76,97468632,PRJNA1120019,SAMN41673657,42452786,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",5,SRX24796380,uncalculated,uncalculated,missing,NextSeq 500,GSM8305585,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305585,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279104,RNA-Seq,76,95144628,PRJNA1120019,SAMN41673657,41097825,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",5,SRX24796380,uncalculated,uncalculated,missing,NextSeq 500,GSM8305585,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305585,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279106,RNA-Seq,76,81447680,PRJNA1120019,SAMN41673658,35499954,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",5,SRX24796379,uncalculated,uncalculated,missing,NextSeq 500,GSM8305584,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305584,Bone-marrow Macrophage,SRP511692,None,Vancomycin
